Team,Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI
Mid Island Pirates,16,Giles,Jett,44,162,121,0.339,0.487,0.901,0.413,41,34,6,0,1,17,34,23,28,11,13,4,1,2,3,20,83.33,4,1,77,47.53,7,0.821,76.86,18,14.29,33.67,44.9,0.43,0.412,34,9,7,50,629,3.883,21,12.96,36,22.22,121,2,0,0
Mid Island Pirates,10,Bailey,Easton,44,161,134,0.343,0.441,0.948,0.507,46,29,13,3,1,28,31,20,20,4,5,0,2,5,3,18,94.74,1,0,80,49.69,8.1,1,85.07,24,17.24,41.38,40.52,0.391,0.308,62,7,17,68,561,3.484,12,7.45,31,19.25,134,1,0,0
White Rock Tritons,21,Clark,Mathew,41,153,121,0.339,0.471,0.933,0.463,41,31,7,1,2,10,30,17,18,6,14,0,1,4,5,15,83.33,3,1,76,49.67,9,0.944,85.12,34,16.35,28.85,54.81,0.382,0.219,55,3,10,56,577,3.771,21,13.73,27,17.65,60.5,1,0,0
Abbotsford Cardinals,27,Millar,Owen,43,152,123,0.276,0.404,0.762,0.358,34,25,8,1,0,18,26,14,27,9,13,1,1,2,2,12,92.31,1,1,68,44.74,10.9,0.519,78.05,23,11.22,35.71,46.94,0.351,0.349,55,8,9,44,535,3.52,17,11.18,29,19.08,-,2,0,0
North Shore Twins,43,Zweep,Raymond,42,149,128,0.281,0.376,0.727,0.352,36,28,7,1,0,18,15,18,17,7,2,0,1,2,1,6,100,0,0,72,48.32,8.3,1.059,86.72,33,17.86,38.39,43.75,0.321,0.348,61,8,8,45,522,3.503,11,7.38,23,15.44,-,2,0,0
White Rock Tritons,35,Hotell,Kayden,42,146,107,0.28,0.469,0.805,0.336,30,25,4,1,0,22,17,20,13,3,18,1,0,2,1,1,50,1,2,71,48.63,7.3,1.538,87.85,32,16.49,36.08,42.27,0.319,0.324,51,13,5,36,501,3.432,19,13.01,20,13.7,-,1,0,0
Abbotsford Cardinals,11,Carriere,Jake,44,145,116,0.457,0.549,1.152,0.603,53,42,5,6,0,29,30,23,17,6,3,1,2,5,4,18,100,0,1,74,51.03,6.3,1.353,85.34,25,15.69,37.25,44.12,0.525,0.435,57,15,11,70,511,3.524,14,9.66,24,16.55,-,1,0,0
Victoria Eagles,28,Henzi,Will,38,145,113,0.354,0.49,0.95,0.46,40,31,6,3,0,18,35,27,12,9,4,0,1,7,1,16,94.12,1,2,78,53.79,5.4,2.25,89.38,34,26.47,31.37,41.18,0.392,0.429,43,4,9,52,536,3.697,16,11.03,24,16.55,-,1,0,0
Whalley Chiefs,31,Morais,Marco,43,145,129,0.248,0.315,0.57,0.256,32,31,1,0,0,13,24,12,9,2,1,2,1,8,4,6,66.67,3,1,50,34.48,12.1,1.333,93.02,23,17.89,22.76,56.91,0.264,0.308,56,2,1,33,473,3.262,8,5.52,17,11.72,-,1,0,0
Abbotsford Cardinals,5,Nash,Landon,42,143,117,0.41,0.514,0.976,0.462,48,43,4,1,0,25,32,21,3,1,4,1,0,2,8,22,91.67,2,0,58,40.56,6.8,7,97.44,24,10.43,27.83,60,0.421,0.474,46,9,5,54,480,3.357,11,7.69,16,11.19,-,1,0,0
Delta Blue Jays,88,Abbott,Reece,41,137,115,0.287,0.382,0.808,0.426,33,22,7,3,1,22,21,18,28,8,1,1,2,1,6,8,100,0,0,67,48.91,7.6,0.643,75.65,18,12.22,51.11,35.56,0.364,0.318,65,7,11,49,511,3.73,24,17.52,30,21.9,115,1,0,0
North Shore Twins,26,Cooke,Carter,40,136,109,0.22,0.336,0.62,0.284,24,19,3,2,0,15,19,8,30,6,13,2,4,5,1,19,100,0,2,45,33.09,17,0.267,72.48,15,11.76,43.53,40,0.289,0.225,57,2,5,31,417,3.066,12,8.82,16,11.76,-,0,0,0
Langley Blaze,36,Pighin,Christian,42,135,96,0.333,0.515,0.932,0.417,32,28,0,4,0,13,30,24,12,4,12,3,0,2,1,26,100,0,1,63,46.67,5.6,2,87.5,22,18.39,28.74,42.53,0.381,0.321,29,5,4,40,506,3.748,21,15.56,29,21.48,-,0,0,0
White Rock Tritons,18,Pennington,Connor,41,135,111,0.279,0.407,0.813,0.405,31,20,9,1,1,21,20,18,20,11,6,0,0,1,2,6,75,2,0,71,52.59,7.5,0.9,81.98,32,24.18,29.67,45.05,0.333,0.375,66,6,11,45,503,3.726,15,11.11,26,19.26,111,1,0,0
North Shore Twins,8,Andreola,Pietro,43,134,113,0.265,0.364,0.709,0.345,30,22,7,1,0,15,21,13,13,7,5,2,1,4,4,6,100,0,0,54,40.3,10.3,1,88.5,20,11.65,36.89,46.6,0.297,0.306,48,1,8,39,469,3.5,9,6.72,19,14.18,-,2,0,0
Mid Island Pirates,19,Galloway,Martin,38,133,115,0.261,0.353,0.727,0.374,30,22,4,3,1,19,18,10,17,7,7,0,1,3,6,7,87.5,1,0,46,34.59,13.3,0.588,85.22,16,13,42,44,0.296,0.302,67,6,8,43,437,3.286,15,11.28,16,12.03,115,2,0,0
White Rock Tritons,43,Schotts,Eli,41,133,109,0.266,0.383,0.714,0.33,29,24,3,2,0,13,16,19,16,4,3,0,2,2,6,4,57.14,3,0,65,48.87,7,1.188,85.32,25,17.89,35.79,45.26,0.305,0.205,58,4,5,36,475,3.571,19,14.29,20,15.04,-,2,0,0
Delta Blue Jays,40,Matsumoto,Tashi,43,132,112,0.321,0.417,0.854,0.438,36,24,11,1,0,21,19,16,14,4,3,0,1,6,2,8,72.73,3,0,66,50,8.3,1.143,87.5,27,22.22,40.4,35.35,0.364,0.447,47,8,12,49,468,3.545,16,12.12,25,18.94,-,0,0,0
North Shore Twins,63,Elsner,Mattias,38,130,116,0.31,0.385,0.79,0.405,36,26,9,1,0,12,16,12,25,13,2,0,0,8,4,6,100,0,0,63,48.46,10.8,0.48,78.45,22,16.48,42.86,40.66,0.396,0.313,55,5,10,47,481,3.7,21,16.15,26,20,-,0,0,0
