Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI
5,Fahrni,Caine,41,132,118,0.347,0.392,0.875,0.483,41,29,9,2,1,19,31,5,15,2,5,2,2,8,5,14,87.5,2,1,61,46.21,26.4,0.333,87.29,32,23.36,33.64,40.19,0.385,0.278,51,7,12,57,449,3.402,20,15.15,20,15.15,118,1,0,0
23,Currie,Aleron,30,77,63,0.317,0.421,0.786,0.365,20,17,3,0,0,10,7,7,15,0,5,1,1,0,1,1,100,0,0,35,45.45,11,0.467,76.19,17,30,36,32,0.408,0.304,37,3,3,23,252,3.273,8,10.39,11,14.29,-,0,0,0
4,Ancheta,Joesiah,37,109,95,0.316,0.376,0.797,0.421,30,22,7,0,1,24,16,11,9,1,0,0,3,3,6,4,57.14,3,1,49,44.95,9.9,1.222,90.53,25,20.22,24.72,53.93,0.33,0.293,46,8,8,40,382,3.505,10,9.17,11,10.09,95,4,0,0
27,Gant,Tyler,50,160,144,0.299,0.358,0.706,0.347,43,37,5,1,0,13,31,9,18,4,5,1,1,6,6,7,77.78,2,0,65,40.62,17.8,0.5,87.5,34,21.88,24.22,52.34,0.339,0.256,61,5,6,50,533,3.331,15,9.38,22,13.75,-,3,0,0
25,McAdam,Jake,45,142,124,0.298,0.383,0.746,0.363,37,30,6,1,0,14,18,14,21,8,3,1,0,3,3,5,55.56,4,1,72,50.7,10.1,0.667,83.06,32,23.08,31.73,41.35,0.359,0.351,51,5,7,45,488,3.437,16,11.27,26,18.31,-,0,0,0
16,Allen,Cayden,48,145,116,0.293,0.399,0.761,0.362,34,27,6,1,0,19,18,16,32,10,7,2,4,5,5,19,90.48,2,1,60,41.38,9.1,0.5,72.41,20,16.67,30,43.33,0.386,0.343,52,6,7,42,524,3.614,24,16.55,27,18.62,-,2,0,0
11,Macmillan,Tate,29,75,65,0.292,0.373,0.85,0.477,19,10,6,3,0,9,11,6,26,4,3,0,1,0,2,1,100,0,0,35,46.67,12.5,0.231,60,7,17.5,52.5,30,0.475,0.333,40,3,9,31,280,3.733,10,13.33,17,22.67,-,2,0,0
14,Kawaguchi,Gavin,53,152,115,0.243,0.408,0.791,0.383,28,16,9,2,1,22,31,18,18,6,16,0,3,5,2,8,88.89,1,0,65,42.76,8.4,1,84.35,22,14,38,48,0.273,0.283,63,8,12,44,528,3.474,12,7.89,24,15.79,115,1,0,0
58,Shannon,Maverick,41,114,102,0.235,0.304,0.647,0.343,24,17,3,4,0,12,11,10,21,3,0,2,0,7,4,10,83.33,2,0,43,37.72,11.4,0.476,79.41,19,18.07,20.48,57.83,0.296,0.162,57,5,7,35,377,3.307,7,6.14,10,8.77,-,1,0,0
17,Guedes,Xander,28,74,52,0.231,0.438,0.688,0.25,12,11,1,0,0,7,9,14,13,4,6,1,1,1,0,3,100,0,0,42,56.76,5.3,1.077,75,11,21.95,46.34,29.27,0.3,0.318,27,2,1,13,306,4.135,16,21.62,18,24.32,-,0,0,0
28,Tusa,Ewan,39,121,98,0.224,0.361,0.637,0.276,22,17,5,0,0,18,15,16,20,3,5,2,0,5,7,8,72.73,3,0,52,42.98,7.6,0.8,79.59,18,17.5,21.25,58.75,0.282,0.225,59,5,5,27,447,3.694,10,8.26,17,14.05,-,4,0,0
1,Evans,Ryder,33,83,58,0.224,0.415,0.69,0.276,13,10,3,0,0,17,15,18,22,5,3,1,3,1,1,3,75,1,1,51,61.45,4.6,0.818,62.07,11,25,52.5,20,0.333,0.261,30,3,3,16,364,4.386,20,24.1,25,30.12,-,0,0,0
13,Young,Harry,35,75,63,0.222,0.333,0.619,0.286,14,11,2,1,0,11,9,5,20,8,6,0,1,1,1,6,85.71,1,0,24,32,15,0.25,68.25,10,13.64,34.09,47.73,0.318,0.185,46,3,3,18,291,3.88,5,6.67,12,16,-,0,0,0
18,Chen,An-Drew,22,50,40,0.2,0.34,0.665,0.325,8,5,2,0,1,4,6,6,16,2,3,0,1,3,0,3,100,0,0,22,44,8.3,0.375,60,9,28,40,32,0.292,0.083,21,1,3,13,199,3.98,3,6,9,18,40,3,0,0
3,Hoeschen,Finn,26,77,60,0.183,0.364,0.68,0.317,11,4,6,1,0,12,9,17,20,8,0,0,0,0,0,2,100,0,0,41,53.25,4.5,0.85,66.67,7,12.5,52.5,35,0.275,0.16,39,4,7,19,332,4.312,15,19.48,22,28.57,-,0,0,0
9,Douglas-Pluff,Cole,32,66,53,0.151,0.286,0.437,0.151,8,8,0,0,0,3,9,5,16,3,5,3,0,2,5,2,100,0,0,24,36.36,13.2,0.312,69.81,5,10,27.5,47.5,0.216,0.12,40,2,0,8,231,3.5,8,12.12,10,15.15,-,0,0,0
50,Fong,Marcus,31,51,42,0.095,0.235,0.402,0.167,4,3,0,0,1,5,13,4,15,7,4,0,1,2,0,5,100,0,0,13,25.49,12.8,0.267,64.29,3,3.57,60.71,35.71,0.111,0.059,33,0,1,7,194,3.804,7,13.73,6,11.76,42,0,0,0
